column_name,data_type,udt_name,is_nullable
id,uuid,uuid,NO
property_id,text,text,NO
property_global_id,text,text,YES
storage_path,text,text,NO
thumb_path,text,text,NO
mime_type,text,text,YES
width,integer,int4,YES
height,integer,int4,YES
size_bytes,bigint,int8,YES
sort_order,integer,int4,NO
is_primary,boolean,bool,NO
uploaded_by,uuid,uuid,YES
created_at,timestamp with time zone,timestamptz,NO
updated_at,timestamp with time zone,timestamptz,NO
deleted_at,timestamp with time zone,timestamptz,YES
