section,object_name,item_name,details
column,profiles,created_at,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""column_default"":""now()"",""ordinal_position"":4}"
column,profiles,id,"{""udt_name"":""uuid"",""data_type"":""uuid"",""is_nullable"":""NO"",""column_default"":null,""ordinal_position"":1}"
column,profiles,name,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":2}"
column,profiles,phone,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":7}"
column,profiles,position,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":6}"
column,profiles,role,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""NO"",""column_default"":""'staff'::text"",""ordinal_position"":3}"
column,profiles,updated_at,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""column_default"":""now()"",""ordinal_position"":5}"
column,properties,address,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""NO"",""column_default"":null,""ordinal_position"":6}"
column,properties,asset_type,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":7}"
column,properties,assignee_id,"{""udt_name"":""uuid"",""data_type"":""uuid"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":20}"
column,properties,assignee_name,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":42}"
column,properties,broker_license_no,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":33}"
column,properties,broker_name,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":32}"
column,properties,broker_office_name,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":31}"
column,properties,common_area,"{""udt_name"":""numeric"",""data_type"":""numeric"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":9}"
column,properties,created_at,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""column_default"":""now()"",""ordinal_position"":26}"
column,properties,daily_issue,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":45}"
column,properties,date_main,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":14}"
column,properties,date_uploaded,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""column_default"":""now()"",""ordinal_position"":19}"
column,properties,exclusive_area,"{""udt_name"":""numeric"",""data_type"":""numeric"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":8}"
column,properties,floor,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":40}"
column,properties,geocode_provider,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":23}"
column,properties,geocode_query_address,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":25}"
column,properties,geocode_status,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":22}"
column,properties,geocode_updated_at,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":24}"
column,properties,geocoded_at,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":34}"
column,properties,global_id,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""NO"",""column_default"":null,""ordinal_position"":2}"
column,properties,id,"{""udt_name"":""uuid"",""data_type"":""uuid"",""is_nullable"":""NO"",""column_default"":""gen_random_uuid()"",""ordinal_position"":1}"
column,properties,is_general,"{""udt_name"":""bool"",""data_type"":""boolean"",""is_nullable"":""NO"",""column_default"":""false"",""ordinal_position"":5}"
column,properties,item_no,"{""udt_name"":""text"",""data_type"":""text"",""is_nullable"":""NO"",""column_default"":null,""ordinal_position"":3}"
column,properties,latitude,"{""udt_name"":""float8"",""data_type"":""double precision"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":17}"
column,properties,longitude,"{""udt_name"":""float8"",""data_type"":""double precision"",""is_nullable"":""YES"",""column_default"":null,""ordinal_position"":18}"
